player,Elo_Rating,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win
South Carolina,1489.4737488038004,0.992935,0.964035,0.866235,0.656512,0.471613,0.321226
W16,628.2857408196858,0.007065,0.001344,0.000104,4e-06,1e-06,0.0
North Carolina,832.6658957617914,0.39543,0.010898,0.002175,0.000205,1.7e-05,1e-06
Michigan State,906.7288548661602,0.60457,0.023723,0.006366,0.000817,9e-05,7e-06
Oklahoma,957.8964736462785,0.755342,0.211099,0.013613,0.002124,0.000268,1.5e-05
Florida Gulf Coast,762.554398770492,0.244658,0.03104,0.000845,6.5e-05,2e-06,0.0
Indiana,1147.69367343907,0.953055,0.749743,0.110545,0.036805,0.010206,0.002359
Fairfield,624.9919702192045,0.046945,0.008118,0.000117,2e-06,0.0,0.0
Nebraska,894.2162351943671,0.600089,0.132112,0.014026,0.000847,7.3e-05,2e-06
Texas A&M,823.5553245923007,0.399911,0.06656,0.005077,0.000229,1.3e-05,0.0
Oregon State,1148.2660932759716,0.947068,0.789677,0.234011,0.042461,0.011978,0.002781
Eastern Washington,647.5503677143979,0.052932,0.011651,0.000394,8e-06,0.0,0.0
Ole Miss,938.2563114864289,0.71354,0.069485,0.021532,0.001541,0.000174,1.1e-05
Marquette,779.7897017783499,0.28646,0.012787,0.002243,7.6e-05,4e-06,0.0
Notre Dame,1336.8003718715981,0.993059,0.917087,0.722695,0.258304,0.134953,0.063639
Kent State,474.82894875738936,0.006941,0.000641,2.2e-05,0.0,0.0,0.0
Texas,1351.1264285064062,0.993047,0.93294,0.736889,0.420338,0.170076,0.083279
Drexel,489.3037710028527,0.006953,0.000649,1.9e-05,0.0,0.0,0.0
Alabama,903.3881507411643,0.624054,0.04791,0.010718,0.001148,7.8e-05,1e-05
Florida State,814.9503070102827,0.375946,0.018501,0.002845,0.000203,5e-06,0.0
Utah,1128.1503985188428,0.950107,0.511408,0.131279,0.037844,0.006651,0.001449
South Dakota State,616.0581819649822,0.049893,0.003879,0.000105,2e-06,0.0,0.0
Gonzaga,1115.813780089568,0.95336,0.481735,0.118076,0.032808,0.005647,0.001137
UC Irvine,592.0513052251853,0.04664,0.002978,6.9e-05,1e-06,0.0,0.0
Tennessee,989.2982446398636,0.818275,0.23393,0.033935,0.005752,0.000543,5.6e-05
Green Bay,728.7185594895298,0.181725,0.017657,0.000805,3.6e-05,3e-06,0.0
NC State,1173.4949877095637,0.952658,0.740304,0.222894,0.077943,0.016324,0.004269
Chattanooga,651.0912778309705,0.047342,0.008109,0.000269,1e-05,0.0,0.0
Iowa State,840.8294343215715,0.4456,0.024572,0.004456,0.000395,1.5e-05,0.0
Maryland,878.3739250688266,0.5544,0.037465,0.007988,0.000812,4e-05,1e-06
Stanford,1351.6519435396153,0.993162,0.937233,0.729629,0.422707,0.171226,0.084723
Norfolk State,490.17260817279384,0.006838,0.00073,2.4e-05,1e-06,0.0,0.0
Iowa,1389.524587883926,0.993069,0.947093,0.81959,0.444455,0.263401,0.126033
Y16,527.9308770097241,0.006931,0.000861,4.5e-05,0.0,0.0,0.0
West Virginia,840.7941127885626,0.444739,0.020663,0.004814,0.00026,1.8e-05,1e-06
Princeton,879.3145223402671,0.555261,0.031383,0.008311,0.000504,3.1e-05,3e-06
Colorado,1001.4280737030452,0.836361,0.327916,0.042535,0.005238,0.000767,9.3e-05
Drake,718.0300729475722,0.163639,0.021168,0.000752,2.2e-05,0.0,0.0
Kansas State,1098.125479930352,0.950699,0.644815,0.123829,0.023321,0.005152,0.000794
Portland,585.6650189421237,0.049301,0.006101,0.000124,2e-06,0.0,0.0
Louisville,934.3833889469976,0.70039,0.051246,0.006867,0.000757,8.6e-05,3e-06
Middle Tennessee,786.6042854710034,0.29961,0.010504,0.000732,3.6e-05,1e-06,0.0
LSU,1390.744774934804,0.99317,0.937438,0.585215,0.332601,0.197541,0.095423
Rice,528.7701378797271,0.00683,0.000812,1.6e-05,2e-06,0.0,0.0
Creighton,925.5717129502608,0.641229,0.06299,0.005884,0.000642,5.5e-05,2e-06
UNLV,825.2251179958621,0.358771,0.021477,0.00123,8.6e-05,4e-06,0.0
UCLA,1323.7418241887262,0.993007,0.914998,0.400052,0.192073,0.096073,0.037383
California Baptist,461.6868411621658,0.006993,0.000535,4e-06,1e-06,0.0,0.0
Southern California,1313.8519105966686,0.993111,0.930446,0.777479,0.362508,0.152594,0.057595
AM Corpus Christi,451.5977545528203,0.006889,0.00065,2.7e-05,0.0,0.0,0.0
Kansas,822.8666145706691,0.444335,0.027363,0.00662,0.000339,2.3e-05,2e-06
Michigan,861.3015134527889,0.555665,0.041541,0.011863,0.00069,4.7e-05,2e-06
Baylor,1022.2558531387533,0.855763,0.431265,0.085284,0.0124,0.001537,0.000184
Z12,712.23139139413,0.144237,0.024241,0.001262,3.9e-05,0.0,0.0
Virginia Tech,1050.7771617725946,0.891317,0.525408,0.116626,0.019556,0.002859,0.000384
Marshall,686.0217722286147,0.108683,0.019086,0.000839,2.1e-05,0.0,0.0
Syracuse,885.0916905748004,0.604958,0.043847,0.004269,0.000575,4e-05,1e-06
Z11,811.0007829253054,0.395042,0.019719,0.001402,0.000143,9e-06,1e-06
Connecticut,1344.6366399497651,0.992932,0.935685,0.509662,0.313184,0.14598,0.061134
Jackson State,482.90970930815143,0.007068,0.000749,7e-06,1e-06,0.0,0.0
Duke,1018.2400368013614,0.857041,0.117459,0.019985,0.004648,0.000575,5.2e-05
Richmond,707.8146887108098,0.142959,0.004293,0.00018,8e-06,0.0,0.0
Ohio State,1345.2413315892318,0.993165,0.877773,0.464486,0.285888,0.133207,0.055945
Maine,482.8225963815582,0.006835,0.000475,9e-06,0.0,0.0,0.0
