,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win
Sinner,0.939206,0.862594,0.761958,0.617672,0.488094,0.306179,0.183595
Nardi,0.060794,0.040514,0.025942,0.014953,0.009062,0.004094,0.001985
Tseng,0.500207,0.048592,0.030363,0.016993,0.010175,0.00463,0.002203
Vukic,0.499793,0.0483,0.030048,0.016836,0.010115,0.004647,0.002225
Martinez Portero,0.498969,0.233934,0.034759,0.018939,0.011208,0.005066,0.002405
Loffhagen,0.501031,0.235058,0.03504,0.019224,0.011415,0.00509,0.002419
Navone,0.440422,0.227421,0.033892,0.018456,0.010992,0.004872,0.002333
Shapovalov,0.559578,0.303587,0.047998,0.026828,0.016241,0.007459,0.003646
Dimitrov,0.696918,0.455479,0.243888,0.065418,0.041577,0.020115,0.010098
Nishioka,0.303082,0.170488,0.079873,0.018797,0.011098,0.005045,0.00236
Comesana,0.499172,0.186595,0.085009,0.019457,0.011396,0.005141,0.002394
Moutet,0.500828,0.187438,0.085681,0.019655,0.011559,0.00538,0.002576
Ofner,0.5012,0.18344,0.085341,0.019576,0.01147,0.005254,0.002523
Medjedovic,0.4988,0.182749,0.08523,0.019704,0.011452,0.005279,0.00254
Monday,0.294497,0.166793,0.079112,0.018457,0.01099,0.004955,0.002385
Paul,0.705503,0.467018,0.255866,0.069035,0.043688,0.021002,0.010439
Shelton,0.64282,0.390504,0.220132,0.110382,0.032087,0.014293,0.006767
Bolt,0.35718,0.194472,0.100885,0.047566,0.012927,0.00568,0.002678
Hijikata,0.501162,0.208201,0.106212,0.049483,0.013278,0.005726,0.002613
Goffin,0.498838,0.206823,0.10539,0.048883,0.013083,0.00565,0.002569
Kovacevic,0.49943,0.235228,0.108259,0.050062,0.013301,0.005737,0.00261
Fucsovics,0.50057,0.235746,0.108309,0.049956,0.013395,0.00562,0.002541
Monfils,0.445096,0.229649,0.106911,0.049514,0.013143,0.005627,0.002584
Humbert,0.554904,0.299377,0.143902,0.068429,0.018922,0.008195,0.003805
Nakashima,0.500994,0.235045,0.098968,0.049377,0.013244,0.005808,0.002692
Bu,0.499006,0.234091,0.098395,0.049254,0.013174,0.005641,0.002569
Shevchenko,0.442659,0.229052,0.096564,0.048685,0.01314,0.005682,0.002603
Opelka,0.557341,0.301812,0.1325,0.068592,0.019057,0.008361,0.003892
Faria,0.499946,0.177289,0.09397,0.047562,0.012802,0.005537,0.002516
Sonego,0.500054,0.177451,0.093824,0.047379,0.012823,0.005515,0.002551
Basilashvili,0.280178,0.159914,0.086206,0.044174,0.012025,0.005215,0.002413
Musetti,0.719822,0.485346,0.299573,0.170702,0.053067,0.024783,0.011961
Draper,0.836461,0.656325,0.403506,0.281202,0.142505,0.06897,0.0368
Baez,0.163539,0.099482,0.045295,0.026701,0.011143,0.0048,0.00234
Collignon,0.472614,0.113361,0.050034,0.028917,0.01208,0.004998,0.002457
Cilic,0.527386,0.130832,0.059051,0.034885,0.014776,0.006272,0.003054
McCabe,0.500216,0.142271,0.051787,0.029986,0.012297,0.00507,0.002405
Marozsan,0.499784,0.142041,0.051603,0.029607,0.012267,0.005018,0.002433
Munar,0.207794,0.124983,0.047108,0.02749,0.011503,0.004907,0.002357
Bublik,0.792206,0.590705,0.291616,0.195377,0.094744,0.044285,0.022918
