,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win
Sabalenka,0.941196,0.86814,0.736296,0.638984,0.523251,0.405624,0.278223
Branstine,0.058804,0.039367,0.022115,0.014885,0.009561,0.005977,0.003362
Sun,0.499768,0.046354,0.025299,0.016751,0.010658,0.006566,0.003591
Bouzkova,0.500232,0.046139,0.025033,0.016591,0.010494,0.006514,0.003604
Raducanu,0.593401,0.246674,0.04425,0.030388,0.019938,0.012631,0.007246
Xu,0.406599,0.153223,0.025272,0.016734,0.010738,0.006717,0.003795
Vondrousova,0.720461,0.453575,0.096955,0.07024,0.048229,0.031708,0.018417
Kessler,0.279539,0.146528,0.02478,0.016569,0.010617,0.00666,0.003687
Mertens,0.500902,0.251282,0.119849,0.021049,0.012425,0.007288,0.003882
Fruhvirtova,0.499098,0.250064,0.118917,0.020906,0.012145,0.007048,0.003702
Li,0.500643,0.24984,0.118347,0.020797,0.012391,0.007411,0.003941
Golubic,0.499357,0.248814,0.11844,0.020937,0.012448,0.007173,0.003754
Gracheva,0.499759,0.22763,0.116841,0.020578,0.01206,0.007068,0.003718
Sasnovich,0.500241,0.227881,0.116843,0.020636,0.012245,0.007173,0.00379
Bondar,0.417665,0.218692,0.113284,0.02016,0.012117,0.007129,0.003719
Svitolina,0.582335,0.325797,0.177479,0.033795,0.020457,0.012233,0.006625
Badosa,0.53895,0.284953,0.145314,0.067769,0.016693,0.009687,0.005114
Boulter,0.46105,0.23607,0.117574,0.05376,0.013173,0.007552,0.003928
Minnen,0.499925,0.239453,0.118993,0.054127,0.013064,0.00746,0.003877
Gadecki,0.500075,0.239524,0.118527,0.053968,0.012951,0.007328,0.003768
Todoni,0.500192,0.2399,0.118676,0.054102,0.013072,0.007534,0.003895
Bucsa,0.499808,0.239501,0.118671,0.053938,0.012877,0.007379,0.003791
Birrell,0.462837,0.236813,0.117448,0.053556,0.012897,0.007432,0.003889
Vekic,0.537163,0.283786,0.144797,0.06724,0.016603,0.009496,0.004886
Fernandez,0.499583,0.250269,0.102692,0.053131,0.012843,0.007396,0.003831
Klugman,0.500417,0.250357,0.102554,0.052818,0.012765,0.00734,0.003802
Stearns,0.498578,0.248417,0.101669,0.052489,0.012877,0.007369,0.003893
Siegemund,0.501422,0.250957,0.102922,0.053022,0.012827,0.007348,0.003825
Danilovic,0.499467,0.177402,0.096793,0.050906,0.012489,0.007324,0.003821
Shuai,0.500533,0.177638,0.097005,0.051023,0.012597,0.007268,0.003842
Ruse,0.2859,0.1644,0.091915,0.049054,0.012328,0.007267,0.003844
Keys,0.7141,0.48056,0.30445,0.179097,0.05017,0.030958,0.017078
Paolini,0.670029,0.42343,0.249434,0.139618,0.072203,0.023486,0.012334
Sevastova,0.329971,0.183251,0.098006,0.05106,0.025054,0.007599,0.003893
Rakhimova,0.500137,0.196981,0.103184,0.05259,0.025442,0.007744,0.003906
Ito,0.499863,0.196338,0.103039,0.052674,0.025471,0.007649,0.003841
Lys,0.50103,0.240428,0.106271,0.053967,0.025971,0.00797,0.003985
Yue,0.49897,0.239275,0.105535,0.053403,0.025769,0.00777,0.003978
Pera,0.461659,0.236129,0.104797,0.053361,0.025925,0.007957,0.004083
Noskova,0.538341,0.284168,0.129734,0.066675,0.032434,0.009953,0.005146
Haddad Maia,0.500255,0.250055,0.116837,0.054555,0.026082,0.007838,0.003906
Sramkova,0.499745,0.250306,0.117487,0.055043,0.02633,0.007748,0.003943
Dart,0.500121,0.250153,0.116653,0.055015,0.026434,0.007918,0.00403
Galfi,0.499879,0.249486,0.117146,0.054828,0.026155,0.007951,0.003915
Wickmayer,0.499805,0.221169,0.114275,0.053873,0.025859,0.007736,0.003925
Zarazua,0.500195,0.221315,0.114433,0.054108,0.0259,0.007921,0.004022
Putintseva,0.398442,0.211096,0.110815,0.052688,0.02541,0.007874,0.004013
Anisimova,0.601558,0.34642,0.192354,0.096542,0.048156,0.01511,0.007676
Shnaider,0.536849,0.283193,0.131534,0.063517,0.032042,0.009752,0.005063
Uchijima,0.463151,0.237147,0.107858,0.051283,0.025699,0.00783,0.003878
Parry,0.501284,0.240445,0.10854,0.051311,0.025393,0.007573,0.003894
Martic,0.498716,0.239215,0.108094,0.051507,0.025672,0.007825,0.004021
Tomova,0.393824,0.191729,0.101112,0.049191,0.025021,0.007743,0.003959
Jabeur,0.606176,0.324319,0.18158,0.092743,0.048371,0.01535,0.008019
Kartal,0.416713,0.192929,0.101031,0.049049,0.024655,0.007415,0.003794
Ostapenko,0.583287,0.291023,0.160251,0.080606,0.041979,0.013157,0.006883
Krueger,0.499473,0.250085,0.105298,0.051453,0.025547,0.007812,0.003999
Stojsavljevic,0.500527,0.25055,0.105065,0.051476,0.025612,0.007777,0.003927
Pavlyuchenkova,0.501467,0.250617,0.105036,0.051342,0.025756,0.00781,0.003934
Tomljanovic,0.498533,0.248748,0.103935,0.050947,0.025482,0.007701,0.003938
Osaka,0.5991,0.285228,0.166172,0.087714,0.045963,0.014601,0.007588
Gibson,0.4009,0.172895,0.095128,0.048033,0.024513,0.007664,0.003996
Siniakova,0.34372,0.170042,0.094693,0.047893,0.024431,0.007552,0.00387
Zheng,0.65628,0.371835,0.224673,0.121935,0.065269,0.021156,0.011189
Andreeva,0.752648,0.53417,0.355622,0.209268,0.122274,0.057155,0.023852
Sherif,0.247352,0.145541,0.08319,0.042968,0.022974,0.00995,0.003886
Teichmann,0.500576,0.160531,0.08977,0.045543,0.024055,0.010218,0.003841
Bronzetti,0.499424,0.159758,0.089296,0.045059,0.023684,0.010059,0.003985
Baptiste,0.500689,0.250553,0.095494,0.047249,0.024425,0.010233,0.004007
Cirstea,0.499311,0.250079,0.095549,0.047227,0.024508,0.010348,0.003997
Potapova,0.4985,0.248552,0.09516,0.047037,0.024276,0.010212,0.004007
Frech,0.5015,0.250816,0.095919,0.047439,0.024871,0.010398,0.003932
Krejcikova,0.597983,0.342712,0.173124,0.083143,0.044744,0.019419,0.007591
Eala,0.402017,0.213421,0.100844,0.046355,0.024349,0.010228,0.00395
Dolehide,0.499759,0.222115,0.103613,0.047002,0.02444,0.010329,0.003959
