player,Elo_Rating,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win
Auburn,1455.543801080852,0.974789,0.852504,0.732754,0.519976,0.280027,0.138526
Y16,819.9939637206551,0.025211,0.008893,0.00411,0.001493,0.000434,0.000132
Louisville,1046.5218895460862,0.574074,0.083276,0.055722,0.028287,0.010942,0.004121
Creighton,994.7967472888813,0.425926,0.055327,0.035571,0.01724,0.00638,0.002404
Michigan,989.7404581535525,0.602313,0.291235,0.050305,0.023255,0.008228,0.00301
UC San Diego,917.9490109177323,0.397687,0.175003,0.027311,0.011749,0.003883,0.001377
Texas A&M,1049.6150433652263,0.734828,0.415038,0.077302,0.037156,0.013569,0.005118
Yale,872.3300437566211,0.265172,0.118724,0.016925,0.006999,0.002224,0.000762
Ole Miss,983.3621720093765,0.561182,0.208208,0.079196,0.023816,0.008811,0.003264
Y11,940.7446311507422,0.438818,0.153207,0.055757,0.016093,0.00587,0.002189
Iowa State,1164.5968360716922,0.892293,0.597883,0.276233,0.097206,0.040027,0.016345
Lipscomb,796.9961311519442,0.107707,0.040702,0.010849,0.002506,0.00073,0.000245
Marquette,969.2384614857502,0.605029,0.14392,0.065948,0.018787,0.00672,0.002469
New Mexico,895.0942615046459,0.394971,0.081993,0.034479,0.00917,0.003055,0.001056
Michigan State,1261.6346904698578,0.930229,0.743031,0.466903,0.183898,0.082269,0.035578
Bryant,812.349883974348,0.069771,0.031056,0.010635,0.002369,0.000726,0.000211
Florida,1471.9573387277135,0.975309,0.890779,0.749762,0.519663,0.303981,0.153049
Norfolk State,833.8173428110831,0.024691,0.01103,0.004671,0.001554,0.000484,0.000152
Connecticut,1009.8278153906937,0.634512,0.066952,0.037888,0.016458,0.006566,0.002411
Oklahoma,914.5732242172259,0.365488,0.031239,0.016078,0.006284,0.002295,0.000794
Memphis,898.7738793555015,0.442347,0.136118,0.020314,0.008123,0.00301,0.001033
Colorado State,938.7859233793387,0.557653,0.18212,0.02895,0.011839,0.004397,0.00159
Maryland,1145.0566087739376,0.830019,0.592874,0.130227,0.065205,0.02883,0.011631
Grand Canyon,869.2047908052834,0.169981,0.088888,0.01211,0.004654,0.001598,0.000545
